ID,label,tanggal,judul,narasi,nama file gambar
71,1,17-Aug-20,Pemakaian Masker Menyebabkan Penyakit Legionnaires,A caller to a radio talk show recently shared that his wife was hospitalized n told she had COVID n only a couple of days left to live . A doctor friend suggested she be tested for legionnaires disease because she wore the same mask every day all day long . Turns out it WAS legionnaires disease from the moisture n bacteria in her mask . She was given antibiotics n within two days was better . WHAT IF these ‘spikes’ in COVID are really something else due to ‘mask induced infections’ .??🤔🤔🤔,71.jpg
461,1,17-Jul-20,Instruksi Gubernur Jateng tentang penilangan  bagi yg tidak bermasker di muka umum Rp.150.000 menggunakan e-tilang Via apps PIKOBAR,Yth.Seluruh Anggota Grup Sesuai Instruksi Gubernur Jawa Tengah Hasil Rapat Tim Gugus Tugas Covid 19 Jateng sbb:,461.png
495,1,13-Jul-20,Foto Jim Rohn: Jokowi adalah presiden terbaik dlm sejarah bangsa Indonesia,"Jokowi adalah presiden terbaik dlm sejarah bangsa Indonesia. Jim Rohn, motivator terbaik dunia",495.png
550,1,8-Jul-20,"ini bukan politik, tapi kenyataan Pak Jokowi berhasil memulangkan 11,000 Triliun uang negara dari Swiss.","Maaf Mas2 dan Mbak2, ini bukan politik, tapi kenyataan Pak Jokowi berhasil memulangkan 11,000 Triliun uang negara dari Swiss. 11ribu Triliun siap di bawa balik ke Indonesia.RUU Treaty on Mutual Legal Assistance in Criminal Matters between the Republic of Indonesia and The Swiss Confederation (MLA RI-Swiss) resmi disahkan DPR RI tanggal 3 juli 2020. Dengan demikian proses konstitusi menarik dana di Swiss sudah selesai. Perjuangan yang panjang menghadapi ex koruptor yang bersenggama dengan agama. Terimakasih para kadrun yang terus nyinyirian kapan uang 11.000 triliun kembali ke Indonesia. Tanpa anda nyinyir, rasanya sulit RUU itu bisa disahkan oleh DPR. Pemilik 84 rekening gendut siap siap gigit jari . Mungkin tekanan ke Pak Jokowi makin kencang. ini baca beritanya",550.png
681,1,24-Jun-20,Foto Kadrun kalo lihat foto ini panas dingin,Kadrun kalo lihat foto ini panas dingin . .,681.jpg
736,1,17-Jun-20,event promo smartphone JNE 2020 spesial di bulan juni,"selamat siang teman teman fb ku semuanya🤩,cuman mau memberi informasi dan rezeky gak kemana ya😊, kemarin saya mengikuti event promo smartphone JNE 2020 spesial di bulan juni ini dan saya mesan smartphone VIVO V15 PRO cuman seharga Rp.900.000-,gak nyangka cuma seharga Rp.900.000 aku bisa mendapat hp VIVO V15 PRO 😍,bagi teman teman fb ku yg penasaran atau mau ikutan INBOX AJA WA ADMINNYA 0823-7142-9***",736.png
1161,1,5-May-20,MEREKA SUDAH MEMPERSIAPKAN DIRI DENGAN BAIK UNTUK MENGUASAI NEGRI INI!,LIHATLAH MEREKA SUDAH MEMPERSIAPKAN DIRI DENGAN BAIK UNTUK MENGUASAI NEGRI INI!,1161.png
1597,1,24-Mar-20,Foto Presiden Italia menangis karena tak cukup lahan untuk mengubur 700an korban corona per hari,Italia punya fasilitas perawatan kesehatan tercanggih tapi semuanya gagal mengendalikan corona karena awalnya itu hanya dianggap sekadar lelucon dan sekarang presiden mereka menangis karena tak cukup lahan untuk mengubur 700an korban corona per hari (mungkin hari ini sudah lebih dari 700).,1597.png
2098,1,9-Jan-20,"Kapolres Timor Tengah Utara , Nusa Tenggara Timur  Beri Klarifikasi Terkait Video Polisi Diamkan Korban Kecelakaan",Polisi goblok. Bukanya cpet” d tolongin malah d liati aja,2098.jpg
2226,1,24-Dec-19,Video Polisi china telah menganiaya wanita uighur lehernya di cekik pake kaki,"Polisi china telah menganiaya wanita uighur lehernya di cekik pake kaki ,melek tu yg bilang tidak ada penganiayaan Dan Ham diam seribu bahasa … Seolah” polisi itu berkata liat nanti giliran anda sama orang di sekitarnya biadab",2226.png
2588,1,13-Oct-19,"Akhirnya, Jokowi bersedia mengundurkan diri","Akhirnya, Jokowi bersedia mengundurkan diri.
 Gue harus siap2 nih",2588.png
2875,1,26-Aug-19,Info Jalur Rawan Begal dan Himbauan Untuk Tidak Keluar Malam Oleh Kapolres Cianjur,"Begal sudah mulai merambat ke wilayah CIANJUR…!!!
 Wilayah rewan begal antara lain, d harapkan waspada penuh terutama d malam hari…
 01. jalur gekbrong arah sukabmi…
 02. Cibeber dari arah campaka sampe
 cilaku.",2875.jpg
2987,1,29-Jul-19,Dirut PT Agung Podomoro Land Cosmas Batubara Meninggal Dunia,"Turut berduka cita atas
 meninggalnya Pejuang Angkatan 66 Bapak Cosmas Batubara hari Sabtu 27 Juli 2019 pukul 15.00 WIB. Semoga Yang Maha Kuasa mengampuni segala dosanya dan mendapat tempat yang layak disisi Nya.. Aamiin.",2987.png
3571,1,20-Apr-19,SBY Sudah Telepon Moeldoko Suruh Jokowi Akui Kekalahan,"Bantu sebar ya
Pak SBY sudah telpon Moeldoko, suruh JKW akui kekalahan. Ini info dari seorang jenderal… Jadi gak usah pada gusar & panik lagi ya pejuang-pejuang 02
INFO VALID",3571.png
3862,1,2-Mar-19,Foto Anak Rohingya Disiksa Komunis,Relakah anak cucu kita dibikin seperti anak2 rohingya ini ketika Komunis berkuasa…???,3862.jpg
4081,1,25-Jan-19,orang Cina punya KTP Cilacap atas nama Karsono,"Ini kejadian di PLN PLTU Cilacap Bunton Adipala, orang Cina tidak bisa berbahasa Indonesia apalagi bahasa jawa Banyumasan tp punya KTP Cilacap atas nama Karsono, payah kie Camat dan Bupatine
Kalau bener2 terjadi…😭😭😭",4081.png
5836,1,14-Apr-18,Fadli Zon : Semua Warga Indonesia Yang Tidak Pilih Prabowo Di Pilpres 2019 Akan Kami Usir Dari Indonesia,Fadlizon: Semua warga Indonesia yg tdk pilih Prabowo di Pilpres 2019 akan km usir dr Indonesia. Serius ini si Zonk?! https://t.co/jVjxC0jhmp,5836.png
5994,1,14-Mar-18,Pesan Berantai Undian Berhadiah Dari Kementerian Tenaga Kerja Untuk Pekerja Migran Indonesia  di Hongkong,"INFORMASI RESMI DARI DEPNAKER REPUBLIK INDONESIA !!!!!
 Selamat Anda Terpilih Mendapatkan PENGHARGAAN sebesar NT $. 350.000 dari DEPARTEMEN KETENAGA KERJAAN INDONESIA. Sebagai Pahlawan Devisa Negara terbaik Tahun 2017-2018. Kode registrasi TWN37589
 Hubungi Call office:
 +62853-9313-1245
 A/n HARYONO
 Atau kunjungi Alamat Website:
 www.DEPNAKER.yolasite.com
 1. Bagi anda penerimah pemberitahuan ini melalui Telephone atau Sms Whatsapp. Berarti telah resmi mendapatkan penghargaan tersebut tanpa diundi lagi.
 2. Penghargaan Depnaker Bebas Biaya dan telah mendapat sertifikat Bebas pajak dari pemerintah Republik Indonesia.
 3. Pengurusan Penghargaan telah mendapat Pengawasan dari Kepolisian Negara Republik Indonesia dumaksudkan untuk menghindari hal-hal Negatif.
 Peringatan:
 HATI HATI PENIPUAN BILA DALAM PENGURUSAN ANDA DIMINTAI BIAYA, DARI OKNUM OKNUM YANG TIDAK BERTANGGUNH JAWAB. TANPA SEPENGETAHUAN DARI PIHAK DEPNAKER RI.
 pengirim:
 Depnaker Ri.
 73538373777",5994.png
6503,1,11-Dec-17,Indonesia di Penuhi PKI,Hahhahhahahhaha indonesia di penuhi pki …gimanah nih pa kowi…..,6503.jpg
6775,0,25-Oct-17,Sandi Sarankan Warga Ngadu ke Kelurahan Saja,Astaga! Sandiaga Sarankan Warga Ngadu ke Kelurahan Saja Tak Perlu ke Balai Kota ,6775.jpg
6836,1,12-Oct-17,Demo dan Konflik antara Ojek Online dengan Angkutan Umum di Bandung,"Prediksi Besok Bandung kota. Besok Di sinyalir ada Dua Kubu besar 1.Demo lg besar”an 2.Ojek Online gabungan Mau Kumpul Minta Tggung jawab ke kubu Angkot Gabungan, Soalnya Di jl.bkr Grab ojek Di Tabrak Sngaja sampe Mati, Di buah batu grab Mati Jg Di Tabrak Angkot, Di karapitan Grab jg Di Gebukin Angkot, Ada jg ojek online Yg Hilang Ga ada kabar.....",6836.jpg
7038,0,13-Jul-17,"Irina, Istri Ahli IT Hermansyah disebut Mantan PSK","Irina, Istri Ahli IT Hermansyah disebut Mantan PSK",7038.jpg
7214,0,8-Mar-17,"Nezar Patria adalah Kader PKI, Ikut Rapat Setiap Malam di Istana Setelah Jam 8 Malam, Demikian Tuduhan dari Alfian Tandjung","Nezar Patria adalah Kader PKI, Ikut Rapat Setiap Malam di Istana Setelah Jam 8 Malam, Demikian Tuduhan dari Alfian Tandjung",7214.jpg
7914,1,13-Jul-16,: Hati -hati Panggilan Telpon Nomor Tidak Dikenal !!,Hati -hati Panggilan Telpon Nomor Tidak Dikenal !!,7914.jpg
8176,1,15-Sep-15,Larangan anti-miras di Minimarket ditiadakan oleh rezim Jokowi paska Gobel,"Pada 16 April lalu, Menteri Perdagangan Rachmat Gobel memberlakukan kebijakan larangan penjualan minuman beralkohol alias minuman keras di minimarket seluruh Indonesia. Namun, larangan yang tertuang dalam Peraturan Menteri Perdagangan (Permendag) Nomor 06/M-DAG/PER/1/2015 tentang Pengendalian dan Pengawasan terhadap Pengadaan, Peredaran, dan Penjualan Minuman Beralkohol itu kini akan diubah.",8176.jpg
8330,1,11-Aug-20,Corona adalah hoaks,CORONA IS A HOAX,8330.jpg
8508,1,28-Jul-20,Kapal Kargo Pengangkut Kadrun tenggelam di Laut China Selatan,"Kapal Kargo dari Indonesia tujuan ke China dilaporkan tenggelam di Laut China Selatan pada Sabtu malam pukul 22:00 waktu setempat akibat kebocoran lambung Kapal. Kapal tersebut mengangkut Kadrun tujuan China dengan tujuan sebagai objek percobaan Vaksin Covid-19, dimana harga monyet di China sangat mahal sementara harga Kadrun bisa 10 kali lebih murah dari harga monyet. Sampai saat ini masih dalam penyelidikan Otoritas Tiongkok mengenai sebab kecelakaan fatal tersebut.",8508.png
8624,1,20-Jul-20,Foto Gubernur Anies sedang Makan dengan Sekumpulan Orang Jawa Tulen,"Terlihat sekumpulan orang Jawa tulen yang sedang menyantap kuliner khas Jawa, berupa nasi samin, kebab, buaya panggang, dan minumannya tentu fifis onta segar.. Percakapan dari mereka pun memakai bahasa Jawa halus alias kromo inggil pula..Seperti, ana, akhi, antum, afwan, dan lain lain.. Hmmm, sungguh mengagumkan sekali bukan? Nb : Seng wani protes PKI.. Opo kowe Bong? ,",8624.jpg
8636,1,19-Jul-20,Mulan Jameela Undur Diri dari DPR RI,Nah Mundur lebih terhormat daripada di pecat !! Hayo yang lain Monggo mengundurkan diri saja kalau merasa tidak sanggup dan tidak becus kerjanya ..!!!,8636.jpg
8873,1,24-Jun-20,"Video FKPPI dari Bandung sudah berkumpul di Monas, siap siaga apabila RUU HIP di-syahkan oleh DPR","*FKPPI dari Bandung sudah berkumpul di Monas, siap siaga segala kemungkinan terjadi apabila RUU HIP di-syahkan oleh DPR.* *Revolusi jihad mati syahid atau hidup mulia, bela negara dari ancaman Komunisme..!*”",8873.png
8983,1,11-Jun-20,30 Pembantu Baru Positif Corona di Penjaringan,Pembantu yang baru datang 30 Orang di tes semuanya positif Corona,8983.jpg
9226,1,14-May-20,Foto SUDJIATMI DISIKSA DI ALAM BARZAKH,"SUDJIATMI DISIKSA DI ALAM BARZAKH Hj. Sudjiatmi ( Ibu Presiden Jokowi) Tersiksa di alam kubur secara sadis, secara brutal dan sangat kejam. Tanpa ampunan. Disaat tgl. 25 april 2020 bulan lalu Jenazah H. Sudjiatmi di semayamkan ke alam kubur, entah tiba2 hanya seorang yang belum beranjak dari makamnya. Beliau ternyata Presiden Joko Widodo.",9226.png
9299,1,9-May-20,Berdamai dengan Corona yang Dimaksud Jokowi adalah Pemerintah Telah Kalah dan Menyerah,"ASTAGHFIRULLAH, KEMARIN “BERSAMA KITA LAWAN VIRUS CORONA” SEKARANG “AYO KITA BERDAMAI DNGN VIRUS CORONA” ARTINYA PEMERINTAH TELAH KALAH DAN MENGIBARKAN BENDERA PUTIH TANDA MENYERAH.”",9299.jpg
9522,1,20-Apr-20,Penerima Stiker pada Pesan Whatsapp Dikenakan Sejumlah Biaya,"Tahukah teman2 ku di group ini… Kenapa menggunakan stiker, menguntungkan pembuat nya,, Setiap stiker atau gambar yg saudaraku krmkan di wa ini pembayarannya dibebankan kpd yg menerima Rp.250,-.",9522.png
9963,1,12-Mar-20,Foto  Mahfud MD Mengaku Mirip Ashraf Ingin Nikahi BCL,Mengaku Mirip Ashraf Pria ini Ingin Nikahi BCL,9963.png
